# TextPAIR modernization map: <historical form>	<modern form>
# One pair per line, tab-separated. Edit freely; the .mpk cache
# next to this file is rebuilt automatically when this file changes.
'a	he
accyon	action
achaian	achaean
achates	achate's
acheeuement	acheevement
acherō	acheron
achieuements	achievements
achieuments	achievements
achitophels	achitophel's
achiu'd	achieved
acht	ached
acknoledg'd	acknowledged
acknovvledge	acknowledge
acknowlede	acknowledge
acknowledg	acknowledge
acknowledg'd	acknowledged
acknowledgd	acknowledged
acknowledgment	acknowledgement
acknowledgments	acknowledgements
acknowledgynge	acknowledging
acknowlegment	acknowledgement
acknowlegynge	acknowledging
acknowne	acknown
ackowledge	acknowledge
acolastvs-polypragmon-asotvs	acolastus-polypragmon-asotus
acolde	acold
acompanied	accompanied
acompt	accompt
acording	according
acornes	acorns
acount	account
acountes	accounts
acquaintace	acquaintance
acquaintaince	acquaintance
acquaintaunce	acquaintance
acquaintāce	acquaintance
acquainte	acquaint
acquaiutaūce	acquaintance
acquantance	acquaintance
acquanted	acquainted
acquaynt	acquaint
acquayntance	acquaintance
acquayntaunce	acquaintance
acquayntaūce	acquaintance
acquaynted	acquainted
acquiantance	acquaintance
acquianted	acquainted
acquintance	acquaintance
acquir'd	acquired
acquir's	acquire's
acquitall	acquittal
acquitance	acquittance
acquite	acquit
acquited	acquitted
acquittaunce	acquittance
acquyt	acquit
acre-lesse	acre-less
acrisivs	acrisius
acrosse	across
acrosticks	acrostics
acte	act
actes	acts
acteuitie	actevitie
actiō	actium
actiue	active
actiuely	actively
actiuenesse	activeness
actiues	actives
actiuitie	activity
actiuity	activity
activenes	activeness
activenesse	activeness
activitie	activity
actours	actors
actuall	actual
actvs	actus
acurate	accurate
acurst	accursed
acuse	accuse
ad'st	adest
ad-here	adhere
adaies	adais
adamante	adamant
adamantiue	adamantive
adayes	adays
adays	adais
adā	adam
add'st	addest
addars	adders
adde	add
addes	adds
addicion	addition
addicions	additions
addicyon	addition
address'd	addressed
addresse	address
addresst	addressed
addrest	addressed
addyd	added
adeiue	adeive
adew	adieu
adiacent	adjacent
adict	addict
adicted	addicted
adiection	adjection
adiectiue	adjective
adiectiues	adjectives
adiew	adieu
adioining	adjoining
adiourne	adjourn
adioyne	adjoin
adioyned	adjoined
adioynes	adjoins
adioyning	adjoining
adioynyng	adjoining
adition	addition
aditions	additions
adiudg'd	adjudged
adiudge	adjudge
adiudged	adjudged
adiunct	adjunct
adiuncts	adjuncts
adiure	adjure
adjourne	adjourn
adjoyn'd	adjoined
adjoyning	adjoining
adjust'd	adjusted
adle	addle
adle-head	addle-head
administrauit	administravit
administred	administered
administring	administering
admir'd	admired
admir'st	admirest
admirablie	admirably
admirall	admiral
admiralls	admirals
admiratiō	admiration
admird	admired
admirde	admire
admit'd	admitted
admitance	admittance
admite	adamite
admition	admission
admitt	admit
admitts	admits
admonicions	admonitions
admonish'd	admonished
admonisht	admonished
admonyshment	admonishment
admouet	admovet
admyr'd	admired
admyrall	admiral
admyre	admire
admyred	admired
admyring	admiring
admyt	admit
adoe	ado
adon	adonis
adons	adonis
adoo	ado
ador'd	adored
ador'st	adorest
adord	adored
adorde	adore
adoreing	adoring
adorn'd	adorned
adornd	adorned
adornde	adorned
adorne	adorn
adornement	adornment
adornements	adornments
adornes	adorns
adorynge	adoring
adourned	adjourned
adown	down
adown-a	adown
adowne	adown
adrad	dreaded
adress	address
adresse	address
adressed	addressed
adresses	addresses
adressing	addressing
adrest	addressed
adriatick	adriatic
ads	adds
adua	advam
aduanc'd	advanced
aduanc't	advanced
aduancde	advanced
aduance	advance
aduanced	advanced
aduancement	advancement
aduancementes	advancements
aduancements	advancements
aduancer	advancer
aduances	advances
aduanceth	advanceth
aduancing	advancing
aduannced	advanced
aduantage	advantage
aduantages	advantages
aduantange	advantage
aduaunc'd	advanced
aduauncd	advanced
aduaunce	advance
aduaunced	advanced
aduauncement	advancement
aduaunst	advanced
aduauntage	advantage
aduaūce	advance
aduaūtage	advantage
aduātage	advantage
aduenter	adventer
aduenterous	adventurous
aduentrous	adventurous
aduentryng	aduentring
aduentur'd	adventured
aduentur'st	adventurest
aduenturd	adventured
aduenture	adventure
aduentured	adventured
aduenturer	adventurer
aduentures	adventures
aduenturest	adventurest
aduenturous	adventurous
aduersarie	adversary
aduersaries	adversaries
aduersary	adversary
aduersarye	adversary
aduersaryes	adversaries
aduerse	adverse
aduersitee	adversity
aduersitie	adversity
aduersities	adversities
aduersity	adversity
aduertis'd	advertised
aduertise	advertise
aduertised	advertised
aduertisement	advertisement
aduertiseth	advertiseth
aduertisment	advertisement
aduertysement	advertisement
aduertysemēt	advertisement
aduēture	adventure
aduētured	adventured
aduice	advice
aduices	advices
aduil'd	aduiled
aduis'd	advised
aduis'de	advised
aduisd	advised
aduisde	advised
aduise	advise
aduised	advised
aduisedly	advisedly
aduisement	advisement
aduises	advises
aduiseth	adviseth
aduising	advising
aduisings	advisings
aduiz'd	advised
aduize	advise
aduized	advised
aduizing	advising
adult'rate	adulterate
adult'rous	adulterous
adulterat	adulterate
adulteresse	adulteress
adulterie	adultery
adulterours	adulterors
adultrate	adulterate
adultresse	adultress
adultrous	adulterous
adultry	adultery
aduocate	advocate
aduocate's	advocate's
aduocate-ship	advocateship
aduocates	advocates
aduouch	advouch
aduyce	advice
aduyse	advise
aduysement	advisement
adv.	adu.
advanc'd	advanced
advanc't	advanced
advancd	advanced
advancment	advancement
advantag'd	advantaged
advantagious	advantageous
advaunc'd	advanced
advauntage	advantage
adventer	adventure
adventers	adventurers
adventrous	adventurous
adventur'd	adventured
adventurd	adventured
adventvm	adventum
advers	adverse
adversaryes	adversaries
adversitie	adversity
advertis'd	advertised
advertiz'd	advertized
advis'd	advised
advltresse	adultress
advocats	advocates
advr.	adur.
ae	a
aeacvs	aeacus
aedifying	edifying
aegiptian	egyptian
aegiptians	egyptians
aegyptian	egyptian
aegyptians	egyptians
aegytian	egyptian
aenchouies	aenchovies
aeqiuocation	aeqivocation
aequalitie	equality
aequality	equality
aequall	aequal
aequinoctiall	aequinoctial
aequiuocate	aequivocate
aequiuocation	equivocation
aeriall	aerial
aescvlape	aesculape
aescvlapivs	aesculapius
aestimation	estimation
aeternall	eternal
aeternitie	eternity
aethereall	aethereal
aetheriall	aetherial
aeueid	aeveid
aeuo	aevo
aeuum	aewm
af	of
afarre	afar
afear'd	afeared
afearde	afeard
affabilitie	affability
affadauits	affadavits
affaiers	affairs
affaire	affair
affaires	affairs
affayre	affair
affayres	affairs
affayrs	affairs
affear'd	affeared
affeard	afeard
affeccions	affections
affeccyon	affection
affeccyons	affections
affect'st	affectest
affectatiō	affectation
affecte	affect
affectes	affects
affecti	affection
affectiō	affection
