# TextPAIR modernization map: <historical form>	<modern form>
# One pair per line, tab-separated. Edit freely; the .mpk cache
# next to this file is rebuilt automatically when this file changes.
'a	he
breath'st	breathest
breathd	breathed
breathde	breathed
breathie	breathy
breathles	breathless
breathlesse	breathless
breaths	breathes
breathyng	breathing
bredd	bred
bredde	bred
brede	breed
breder	breeder
breding	breeding
bredth	breadth
bredyng	breeding
breech'd	breeched
breech-lesse	breechless
breeche	breech
breechs	breeches
breed-groome	breed-groom
breede	breed
breedes	breeds
breedinge	breeding
breef	brief
breefe	brief
breefly	briefly
brees	breeze
breese	breeze
breetch	breech
breethren	brethren
breff	brief
brefly	briefly
breif	brief
breife	brief
breifly	briefly
breke	break
brekynge	breaking
brest	breast
brest-plates	breastplates
breste	breast
brested	breasted
brestes	breasts
brestplate	breastplate
brests	breasts
breth	breath
brethe	brethren
bretheren	brethren
brethern	brother
bretherne	brethren
bretherns	brethrens
brethre	brethren
brethrens	brothers'
brethrē	brothers
brethyng	breathing
breuelye	brevelye
breuiates	breviates
breuiating	breviating
breuitie	brevity
brevitie	brevity
brew'd	brewed
brew-house	brewhouse
brewd	brewed
brewynge	brewing
breyfe	brief
brēake's	brenake's
briarevs	briareus
briars	briers
brib'd	bribed
bribd	bribed
bribed-buck	bribe-bucked
briberie	bribery
bribyng	bribing
brick-bats	brickbats
brick-wall	brickwall
bricke	brick
bricke-bats	brickbats
bricke-house	brick-house
bricke-kills	brick-kills
brickes	bricks
bridale	bridal
bridall	bridal
bridall-mights	bridal-mights
bridall-night	bridal-night
bridalls	bridals
bride-ale	brideale
bride-bed	bridebed
bride-bowle	bride-bowl
bride-chamber	bridechamber
bride-cup	bridecup
bride-grome	bridegroom
bride-groom	bridegroom
bride-groome	bridegroom
bride-grooms	bridegrooms
bride-house	bridehouse
bride-wel	bridewell
bride-well	bridewell
bridegrome	bridegroom
bridegromes	bridegroom's
bridegroome	bridegroom
bridegroome's	bridegroom's
bridegroomes	bridegrooms
brideleth	bridleth
brideling	bridling
bridewels	bridewells
bridg	bridge
bridgrome	bridegroom
bridgroom	bridegroom
briefe	brief
briefely	briefly
brieflie	briefly
briggandines	brigandines
bright-ey'd	bright-eyed
bright-scour'd	bright-scoured
brighte	bright
brightlie	brightly
brightned	brightened
brightnes	brightness
brightnesse	brightness
brim'd	brimmed
brim-full	brimful
brimfull	brimful
brimm'd	brimmed
brimme	brim
brimmes	brims
brincke	brink
brincks	brinks
briney	briny
bring'st	bringest
bringe	bring
bringes	brings
bringst	bringest
bringyng	bringing
brinie	briny
brinke	brink
briske	brisk
briskes	brisks
brisle	bristle
brisled	bristled
bristle-poynted	bristle-pointed
bristovv	bristow
bristow's	bristol's
brit	briȝt
britanniarvm	britanniarum
britannicvs	britannicus
brittaines	britons
brittaines-burse	britons-burse
brittish	british
brittons	britons
broach'd	broached
broacht	broached
broad-seales	broad-seals
broad-side	broadside
broad-sides	broadsides
broade	broad
broade-cloth	broadcloth
broak	broke
broake	broke
broaken	broken
broakers	brokers
broath	broth
broaths	broths
broch	broach
broching	broaching
brod	broad
brode	broad
broder	brother
brodred	broidered
broght	brought
brograue	brograve
broidred	broidered
broil'd	broiled
broild	broiled
broile	broil
broiles	broils
brok'd	broked
brok'st	brokest
broke-wing'd	broke-winged
broken-meate	broken-meat
broken-shind	broken-shined
brokē	broken
brom	broom
brond	brand
bronds	brands
brood'st	broodest
broode	brood
broodes	broods
broods	brood's
brook'd	brooked
brooke	brook
brookes	brooks
brookt	brooked
broome-maid	broom-maid
broome-man	broom-man
broome-mans	broom-mans
broomes	brooms
broosed	bruised
brothell	brothel
brothelrie	brothelry
brother-hood	brotherhood
brother-like	brotherlike
brotherhoode	brotherhood
brotherlesse	brotherless
brothes	broths
brough	borough
brought'st	broughtest
broughte	brought
broughtst	broughtest
brouht	brought
brovghtons	broughtons
brovvne	brown
brow'd	browed
browe	brow
browes	brows
brown-hair'd	brown-haired
browne	brown
browne-bay	brown-bay
browne-bill	brown-bill
brownisticall	brownistical
broyde	broid
broyded	broided
broyl'd	broiled
broyld	broiled
broyle	broil
broyled	broiled
broyles	broils
broyling	broiling
broyls	broils
broylyng	broiling
bruis'd	bruised
bruisde	bruised
bruite	bruit
bruitish	brutish
bruiz'd	bruised
bruize	bruise
bruizes	bruises
brumall	brumal
brus'd	bruised
brusd	bruised
brusde	bruised
bruse	bruise
brused	bruised
bruses	bruises
brush'd	brushed
brusheth	brushes
brusht	brushed
brusing	bruising
brust	burst
brusyng	bruising
bruted	bruited
brutes	brutus's
brutishe	brutish
brutysh	brutish
brutyshe	brutish
bruz'd	bruised
bruze	bruise
bruzed	bruised
bruzing	bruising
brvnhalt	brunhalt
brvtvs	brutus
bryar	briar
bryars	briars
brybe	bribe
brybes	bribes
brybyng	bribing
bryde	bride
brydebed	bridebed
brydeled	bridled
brydell	bridle
brydels	bridles
brydes	brides
brydle	bridle
brydled	bridled
bryers	briers
bryght	bright
bryghte	bright
brym	brim
bryms	brims
brymstone	brimstone
bryng	bring
brynge	bring
brynges	brings
bryngeth	bringeth
brynging	bringing
bryngs	brings
bryngynge	bringing
brynke	brink
bréeches	breeches
bréed	breed
bréede	breed
bréedes	breeds
bréedeth	breedeth
bréeds	breeds
bu	but
buble	bubble
bubles	bubbles
bubleth	bubbleth
bubling	bubbling
bublyng	bubbling
buchers	butchers
bucke	buck
buckeram	buckram
buckes	bucks
buckl'd	buckled
bucolicks	bucolics
budd	bud
budde	bud
buddes	buds
buddinge	budding
budds	buds
buddyng	budding
budge-row	budgerow
budgettes	budgets
bue	bve
buena	bvena
buff-coat	buffcoat
buff-ierkin	buff-jerkin
buffe	buff
buffe-doublet	buff-doublet
buffe-ierkin	buff-jerkin
buffe-jerkin	buff-jerkin
buffes	buffs
buffettings	buffetings
buffonry	buffoonery
buffoone	buffoon
bufiness	business
bug-bear	bugbear
bug-beare	bugbear
bug-beares	bugbears
bug-bears	bugbears
bugbeare	bugbear
bugbeares	bugbears
bugge	bug
bugge-beare	bugbear
bugges	bugs
buggs	bugs
bui'd	bvied
bui'st	bviest
buidldings	bvidldings
buie	buy
buies	buys
builde	build
builders	bvilders
buildes	builds
building's	bvilding's
buildst	buildest
builte	built
buisie	busy
buisines	bvisines
buisinesse	business
buisness	business
buisnesse	business
bul	bull
bul-rush	bulrush
bul-warke	bulwark
bul-warks	bulwarks
bulg'd	bulged
bulke	bulk
bulkes	bulks
bull'd	bulled
bull-baiting	bullbaiting
bull-beggar	bullbeggar
bull-head	bullhead
bull-hide	bullhide
bull-rush	bulrush
bulle	bull
bulles	bulls
bullie	bully
bulling-brooke	bullingbrook
bullocke	bullock
bullockes	bullocks
bullrushes	bulrushes
bulls-head	bullshead
bullwark	bulwark
bullye	bully
bullyon	bullion
buls	bulls
bulwarke	bulwark
bulwarkes	bulwarks
bulworke	bulwark
bulworks	bulwarks
bumbast	bombast
bumbaste	bombast
bumbasting	bombasting
bumbasts	bombasts
bumpes	bumps
bunce	bounce
bunch'd	bunched
bunche	bunch
bundel	bundle
bung'd	bunged
bung-hole	bunghole
buona	bvona
buoy'd	buoyed
buoye	buoy
burd'ned	burdened
burdein	burden
burdeined	burdened
burden'd	burdened
burdene	burden
burdē	burden
burdēs	burdens
burdned	burdened
burgen	burgeon
burgers	burghers
burgesse	burgess
burglarie	burglary
burgo-master	burgomaster
burgomaisters	burgomasters
buri'd	buried
buriall	burial
burialls	burials
burie	bury
burl'd	burled
burlady	byr'lady
burles	burls
burlye	burly
burn'd	burned
burn'st	burnest
burn't	burnt
burnd	burned
burne	burn
burne's	burn's
burnes	burns
burning-feaver	burning-fever
burninge	burning
burnish'd	burnished
burnish't	burnished
burnisht	burnished
burnte	burnt
burnyng	burning
burnynge	burning
burnysht	burnished
burres	burrs
burrie	burry
burryed	buried
burste	burst
burthen	burden
burthened	burdened
burthening	burdened
burthenous	burdenous
burthens	burdens
burthensome	burdensome
burthē	burden
burthned	burdened
bury'd	buried
buryall	burial
buryed	buried
buryes	buries
bus'ness	business
bus'nesse	business
bus'nesses	businesses
bush-naturall	bush-natural
bushe	bush
bushell	bushel
bushells	bushels
bushie	bushy
bushinesse	bushiness
busht	bushed
busie	busy
busie-member	busy-member
busie-working	busy-working
busilest	busiest
busilie	busily
busines	business
businesse	business
busiues	busives
buske	busk
buske-point	busk-point
buske-poynts	busk-points
buskes	busks
buskie	busky
buskins	buskin's
busling	bustling
busnesse	business
bussard	buzzard
busse	buss
busshe	bush
busshell	bushel
busshells	bushels
busshes	bushes
busshy	bushy
bussie	bussy
bussiness	business
bustlyng	bustling
busy'd	busied
busye	busy
busyed	busied
busynes	business
busynesse	business
but'tnam'd	but'tnamed
butcher'd	butchered
butcherd	butchered
butcherie	butchery
butte	butt
butter'd	buttered
butter-box	butterbox
butter-boxe	butterbox
butter-flies	butterflies
butter-flye	butterfly
butter-milke	buttermilk
butterd	buttered
butterflie	butterfly
butterflye	butterfly
butterie	buttery
buttermilke	buttermilk
buttes	butts
buttocke	buttock
buttockes	buttocks
button'd	buttoned
buttonhole	button-hole
buttred	buttered
buttrie	buttery
buttries	butteries
buttry	buttery
buttry-hatch	buttery-hatch
buxome	buxom
buy't	bvy't
buy'ye	bvy'ye
buye	buy
buyes	buys
buyld	build
buylde	build
buylder	builder
buylding	building
buyldings	buildings
buyldynge	building
buylt	built
buz'd	buzzed
buzie	busy
buzz'd	buzzed
buzze	buzz
būbardere	bumbardere
bvl	bul
bvl.	bul.
bvndvca	bunduca
bvndvica	bundvica
bvrbadge	burbadge
bvrre	burre
bvs	bus
bvs.	bus.
bvsy	busy
bvt	but
bvtler	butler
bvttone	buttone
by'd	byed
by'vm	by'um
by-cause	because
by-form'd	by-formed
by-gone	bygone
by-name	byname
by-past	bypast
by-path	bypath
by-paths	bypaths
by-waies	byways
by-way	byway
by-word	byeword
by-words	bywords
byas	bias
byble	bible
bycause	because
byd	bid
bydde	bid
byddeth	biddeth
byde	bide
bydes	bides
bydeth	bideth
byds	bids
bye	buy
byg	big
bygger	bigger
bying	buying
bylde	build
byle	boil
byll	bill
bylles	bills
byllowes	billows
byn	been
bynd	bind
bynde	bind
byrd	bird
byrde	bird
byrdes	birds
byrds	birds
byreeue	byreeve
byrth	birth
byrth-day	birthday
byrth-right	birthright
byrthe	birth
byrthes	births
byshop	bishop
byshopp	bishop
byshoppes	bishops
byshops-gate	bishopsgate
byt	bit
byt'st	bytest
byte	bite
bytes	bites
byteth	biteth
byting	biting
bytt	bit
bytten	bitten
bytter	bitter
bytternesse	bitterness
bytyng	biting
bytynge	biting
bée	been
béecause	because
béefe	beef
béeing	being
béen	been
béene	been
béere	beer
bées	bees
béest	be'st
ca	can
cabages	cabbages
cabbin	cabin
cabbins	cabins
cabine	cabin
cabinne	cabin
cacaliban	caliban
cace	case
cadauer	cadaver
cadauera	cadavera
cadauerie	cadaverie
cadauerum	cadaverum
cadwallader	cadwalader
cae	came
caelestiall	celestial
caeruleū	caeruleum
cag'd	caged
cage-birde	cage-bird
caitife	caitiff
caitifes	caitiffs
caitiffe	caitiff
caitiue	caitiff
caivs	caius
cake-bread	cakebread
cal	call
cal'd	called
cal'st	callest
calamitee	calamity
calamitie	calamity
calander	calandre
calcin'd	calcined
cald	called
calde	called
caldeans	chaldaeans
caled	called
calender	calendar
calfe	calf
calfe-bearer	calf-bearer
calfes	calves
caligvla	caligula
caliuer	caliver
calk'd	calked
call'd	called
call'dst	calledst
call'st	callest
callamities	calamities
calld	called
callde	called
calle	call
called'st	calledest
callenders	calendars
callends	calends
calles	calls
calleth	calls
callicoes	calicoes
callimachvs	callimachus
callinachvs	callinachus
callinge	calling
callinges	callings
calliuers	calivers
calls't	callest
callst	callest
callumnie	calumny
callumnious	calumnious
callumnis'd	callumnised
callvs	callus
callynge	calling
calm'd	calmed
calmd	calmed
calme	calm
calmely	calmly
calmenesse	calmness
calmnes	calmness
calmnesse	calmness
cals	calls
calst	callest
calue-skinne	calve-skin
calues	calves
caluing	calving
caluish	calvish
calumnie	calumny
calver'd	calvered
cam'st	camest
cameleon	chameleon
cameleon-like	chameleonlike
camelion	chameleon
camelion-like	chameleonlike
camelions	chameleons
camell	camel
camells	camels
camerade	comrade
camerades	comrades
cammell	camel
cammels	camels
cammocke	cammock
campe	camp
campes	camps
camst	camest
can'st	canst
canale	canal
canarie	canary
cancauitie	cancavitie
cancel'd	cancelled
canceld	cancelled
cancell	cancel
cancell'd	cancelled
cancelled	canceled
cancells	cancels
cancker'd	cankered
canckred	cankered
cancred	cankered
candel	candle
candell	candle
candels	candles
candi'd	candied
candle-holder	candleholder
candle-light	candlelight
candlesticke	candlestick
candlestickes	candlesticks
candor	candour
candyed	candied
caniball	cannibal
caniballs	cannibals
canke	cank
cankerblossom	canker-blossom
cankerd	cankered
cankred	cankered
cannary	canary
canne	can
canniballs	cannibals
cannnot	cannot
cannoniers	canoneers
cannonize	canonise
cannopy	canopy
cano	canon
canonicall	canonical
canonis'd	canonised
canoniz'd	canonised
canonize	canonise
canopie	canopy
cans't	canst
canse	cause
canterburies	canterbury's
cantiue	cantive
canuas	canvas
canuasing	canvasing
canvase	canvas
canvass	canvas
canvast	canvased
cap-case	capcase
capacite	capacity
capacitie	capacity
capacitye	capacity
capacityes	capacities
caparisō	caparison
capeable	capable
caper'd	capered
capitaine	captain
capitall	capital
capitalls	capitals
capitaynes	captains
capp	cap
cappe	cap
capps	caps
capreall	capreal
capriccious	capricious
caprichious	capricious
capricions	capritions
capring	capering
capritious	capricious
captain-ship	captainship
captaine	captain
captaine-mutiners	captain-mutineers
captaine-ship	captainship
captaines	captains
captaineship	captainship
captaiue	captaive
captaiues	captaives
captayn	captain
captayne	captain
captaynes	captains
capten	captain
captens	captains
captiu'd	captived
captiu'de	captived
captiuate	captivate
captiuated	captivated
captiuates	captivates
captiuating	captivating
captiud	captived
captiue	captive
captiues	captives
captiui	captivi
captiuite	captivity
captiuitie	captivity
captiuity	captivity
captiv'd	captived
captiv'de	captived
captivite	captivity
captivitie	captivity
captyue	captive
captyues	captyves
captyuyte	captivity
capytaynes	captains
car'd	cared
car'st	carest
car-men	carmen
carack	carrack
caracter	character
caracters	characters
carawaies	caraways
carawayes	caraways
carbonado'd	carbonadoed
carcas	carcase
carcasse	carcase
carcasses	carcases
card'nall	cardinal
card'nals	cardinals
card-maker	cardmaker
carde	card
cardes	cards
cardinall	cardinal
cardinall's	cardinal's
cardinalls	cardinals
cardynall	cardinal
careere	career
carefull	careful
carefull'st	carefullest
carefullie	carefully
carefulnes	carefulness
carefulnesse	carefulness
careles	careless
carelesly	carelessly
carelesness	carelessness
carelesnesse	carelessness
carelesse	careless
carelessely	carelessly
carere	career
carē	caren
carfull	careful
cariage	carriage
cariages	carriages
carian	carrion
carie	carry
caried	carried
carier	carrier
cariere	career
cariers	carriers
cariing	carrying
carion	carrion
carkas	carcase
carkase	carcase
carkases	carcases
carkass	carcase
carkasse	carcase
carkasses	carcases
carke	cark
carkes	carks
carle	carl
carles	carls
carless	careless
carlesse	careless
carnaiuan	carnaivan
carnall	carnal
carnallie	carnally
carnallye	carnally
carnifioinae	carnifjoinae
carniuale	carnivale
caroach'd	caroached
caroll	carol
carowse	carouse
carowses	carouses
carowsing	carousing
carpe	carp
carpes	carps
carracke	carrack
carracters	characters
carrawaies	caraways
carre	car
carreer	career
carreere	career
carreers	careers
carren	carrion
carri'd	carried
carriadge	carriage
carriag	carriage
carrie	carry
carrieng	caring
carroches	caroches
carroll	carol
carrot-colourd	carrot-coloured
carrous'd	caroused
carrouse	carouse
carroused	caroused
carrowses	carouses
carrowsing	carousing
carry'd	carried
carryage	carriage
carryed	carried
carryer	carrier
carryers	carriers
carryes	carries
carryeth	carrieth
carst	carest
cart-horse	carthorse
cart-load	cartload
cart-wheele	cartwheel
cart-wheeles	cartwheels
carte	cart
cartes	carts
carth'd	carthed
carthage'tic'd	carthage'ticed
carthagenian	carthaginian
caru'd	carved
carue	carve
carued	carved
caruer	carver
caruers	carvers
carues	carves
caruils	devils
caruing	carving
caruynge	carving
carv'd	carved
carve-gut	carvegut
cary	carry
cary'd	carried
carye	carry
caryed	carried
caryes	caries
carying	carrying
cas	case
cas'd	cased
cas'de-vp	cas'de-up
casde	cased
case-ments	casements
cash-booke	cash-book
cash-keeper	cashkeeper
casheer'd	cashiered
casheers	cashiers
casheir'd	cashiered
casheired	cashiered
casher'd	cashiered
cashier'd	cashiered
cashierd	cashiered
cashiere	cashier
cashir'd	cashiered
cashire	cashier
caside-vp	caside-up
caske	cask
caskes	casks
cassacks	cassocks
cassivs	cassius
cassocke	cassock
cast-away	castaway
cast-cloathes	cast-clothes
caste	cast
castel	castle
castell	castle
castels	castles
castes	casts
casteth	casts
castilliās	castillians
casting-bottle	castingbottle
castle-soape	castle-soap
castle-wall	castlewall
castyng	casting
castynge	casting
casuall	casual
casualtie	casualty
cat-a-mountain	catamountain
cat-a-mountaine	catamountaine
cat-liu'd	cat-lived
catalog	catalogue
cataplasme	cataplasm
catarracts	cataracts
catarre	catarrh
catarrhe	catarrh
catarrhes	catarrhs
catastrophy	catastrophe
catch'd	catched
catch't	catched
catch-pole	catchpole
catch-poles	catchpoles
catche	catch
catcheth	catches
catcht	catched
catchyng	catching
catechise'd	catechiseed
catechisme	catechism
catechiz'd	catechised
catechize	catechise
catell	cattle
cater-piller	caterpillar
caterpiller	caterpillar
caterpillers	caterpillars
cathedrall	cathedral
catholicall	catholical
catholicke	catholic
catiffe	caitiff
catilines	catiline
catiue	cative
catiues	caitiffs
catives	caitiffs
catologue	catalogue
catsynge	catsing
catte	cat
cattel	cattle
cattell	cattle
cattells	cattles
cattels	cattles
catter-pillers	caterpillars
catter-walling	caterwauling
catterpillars	caterpillars
catterpillers	caterpillars
catterwalling	caterwauling
catterwauling	caterwauling
cattes	cats
catts-foote	cats-foot
catv.	catu.
catvllvs	catullus
catvlvs	catulus
caua	cava
caualero	cavalero
caualeroes	cavaleroes
caualier	cavalier
caualiere	cavaliere
caualieres	cavaliers
caualiering	cavaliering
caualiero	cavaliero
caualieros	cavalieros
caualiers	cavaliers
caucll'd	cauclled
caue	cave
caueare	caveare
caueat	caveat
caueats	caveats
cauel'd	caveled
cauelacion	cavelation
caueleeres	caveleeres
cauelere	cavelere
caueliero	caveliero
cauellere	cavellere
cauens	cavens
cauernae	cavernae
cauerne	cavern
cauernes	caverns
cauernesed	cavernesed
cauernis	cavernis
cauerns	caverns
caues	caves
cauesdroppe	cavesdroppe
caueth	caveth
cauf	calf
caught'st	caughtest
caughte	caught
cauiare	caviar
cauileres	cavileres
cauill	cavil
cauillations'gainst	cavillations'gainst
cauilling	cavilling
cauils	cavils
cauis	cavis
cauit	cavit
caus	cause
caus'd	caused
causd	caused
causde	caused
causefull	causeful
causeles	causeless
causelesly	causelessly
causelesse	causeless
causles	causeless
causlesly	causelessly
causless	causeless
causlesse	causeless
caust	caused
caustiue	caustive
causyng	causing
causynge	causing
cauteriz'd	cauterised
cauterize	cauterise
caution'd	cautioned
cautionarie	cautionary
caūtrie	countries
cav's-dropd	cau's-dropd
cavaleiro	cavalero
cavalery	cavalero
cavallery	cavalry
cavalliers	cavaliers
cavells	cavels
cavernes	caverns
caviare	caviar
cavill	cavil
cavills	cavils
cavp	caup
cavvght	cawght
cawdron	caldron
cawse	cause
cawsey	causeway
caytife	caitiff
caytiue	caitiff
caytyfes	caitiffs
cazement	casement
cā	can
cādle	candle
cāgainsay	cangainsay
cānot	cannot
cāp	camp
cāst	canst
ceace	cease
ceas'd	ceased
ceas't	ceased
ceasd	ceased
ceasde	ceased
ceaseles	ceaseless
ceaselesse	ceaseless
ceaseth	ceases
ceasles	ceases
ceaslesse	ceaseless
ceasse	cease
ceassed	ceased
ceast	ceased
ceaste	ceased
ceaz'd	ceased
ceaze	cease
ceiue	ceive
ceiz'd	ceized
celebratissimvm	celebratissimum
celestiall	celestial
celestine	coelestine
celestyall	celestial
celler	cellar
cellers	cellars
cels	cells
celtick	celtic
censur'd	censured
censurd	censured
censvre	censure
censvrer	censurer
centaure	centaur
centaures	centaur's
centavre	centaure
centavres	centaures
center's	centre's
centers	centres
centinell	centinel
centonels	sentinels
centrick	centric
centupl'd	centupled
ceparivs	ceparius
cerbervs	cerberus
cercled	circled
ceremoniall	ceremonial
ceremonie	ceremony
ceremonius	ceremonious
ceremonyal	ceremonial
ceremonyall	ceremonial
ceremonye	ceremony
ceremonyes	ceremonies
cerimonie	ceremony
cerimonies	ceremonies
cerimony	ceremony
certain'st	certainest
certaine	certain
certainelie	certainly
certainely	certainly
certainetie	certainty
certaineties	certainties
certainety	certainty
certainlie	certainly
certainst	certainest
certaintie	certainty
certaintyes	certainties
certayne	certain
certaynely	certainly
certe	certain
certein	certain
certeine	certain
certeinly	certainly
certeintie	certainty
certeinties	certainties
certen	certain
certenly	certainly
certenty	certainty
certeyne	certain
certeynly	certainly
certifi'd	certified
certifie	certify
certifye	certify
certifyed	certified
cesar	caesar
cesaraes	cesara's
cesarea	cesaream
cesse	cease
cesternes	cisterns
cestus	caestus
cethegvs	cethegus
cetheovs	cetheous
ceūcel	ceuncel
cēsure	censure
ch	changed
chac'd	chased
chac't	chaced
chace	chase
chaces	chases
chaceth	chases
chacing	chasing
chaf'd	chafed
chaffe	chaff
chaffer'd	chaffered
chafing-dish	chafingdish
chaft	chafed
chain'd	chained
chaind	chained
chaine	chain
chaine-bullets	chain-bullets
chaine-shot	chain-shot
chaines	chains
chainge	change
chaire	chair
chaires	chairs
chaist	chaste
chalendge	challenge
chalenge	challenge
chalenged	challenged
chalenger	challenger
chalengers	challengers
chalenges	challenges
chalēge	challenge
chalk'd	chalked
chalke	chalk
chalkie	chalky
chalkt	chalked
challendge	challenge
challeng	challenge
challeng'd	challenged
challengd	challenged
challengde	challenge
challices	chalices
chamber'd	chambered
chamber-critick	chamber-critic
chamber-doore	chamber-door
chamber-maid	chambermaid
chamber-maide	chambermaid
chamber-maides	chambermaids
chamber-musicke	chamber-music
chamber-pots	chamberpots
chamber-roome	chamber-room
chamberlaine	chamberlain
chamberlaines	chamberlains
chamberlaynes	chamberlains
chamberleine	chamberlain
chambermaide	chambermaid
chambermaides	chambermaids
chambermayd	chambermaid
chambermayde	chambermaid
chambred	chambered
chambring	chambering
champaigne	champagne
champaine	champain
champaines	champains
champe	champ
champian	champion
champians	champions
champion-like	championlike
champyons	champions
chan'd	chaned
chanc'd	chanced
chanc'st	chancest
chanc't	chanced
chancell	chancel
chancellour	chancellor
chancellours	chancellors
chancelor	chancellor
chancelors	chancellors
chancelour	chancellor
chancerie	chancery
chandge	change
chanel	channel
chanell	channel
chanells	channels
chanels	channels
chang	change
chang'd	changed
changable	changeable
changd	changed
changde	change
changelesse	changeless
changers	changer's
changeth	changes
changling	changeling
changlings	changelings
channce	chance
channel'd	channelled
channell	channel
channell-bound	channel-bound
channells	channels
chanon	canon
chanst	chanced
chantes	chants
chaoiz'd	chaoized
chap'd	chaped
chap-fallen	chapfallen
chap-falne	chapfallen
chap-man	chapman
chap-mans	chapmans
chap-men	chapmen
chapell	chapel
chapiter	chapter
chaplaine	chaplain
chaplaines	chaplains
chapmen's	chapman's
chapp'd	chapped
chappe	chap
chappell	chapel
chappells	chapels
chappels	chapels
chappes	chaps
chapps	chaps
char'd	chared
char-coal	charcoal
character'd	charactered
characterisme	characterism
charactred	charactered
charcoale	charcoal
chardg'd	charged
chardge	charge
chardging	charging
chare-worke	chare-work
charecter'd	charectered
charecters	characters
charg	charge
charg'd	charged
chargd	charged
chargde	charged
charie	chary
charilie	charily
charing-crosse	charingcross
chariot-wheeles	chariot-wheels
chariote	chariot
charitablie	charitably
charite	charity
charitie	charity
charitie's	charity's
charitye	charity
charm'd	charmed
charm'st	charmest
charmd	charmed
charme	charm
charmes	charms
charmiō	charmion
charmyng	charming
charnel-house	charnelhouse
charnell	charnel
charracters	characters
charret	chariot
charriot	chariot
charriots	chariots
charte	chart
charyte	charity
charytie	charity
chas'd	chased
chaseth	chases
chast	chased
chast-reserued	chaste-reserved
chasteties	chastities
chastice	chastise
chastis'd	chastised
chastisde	chastised
chastisment	chastisement
chastitie	chastity
chastitye	chastity
chastiz'd	chastized
chastize	chastise
chastly	chastely
chastned	chastened
chastness	chasteness
chastyte	chastity
chasyng	chasing
chasynge	chasing
chatte	chat
chattell	chattel
chatteryng	chattering
chattinge	chatting
chattring	chattering
chaue	chave
chauelah	chavelah
chaufing	chafing
chaunc'd	chanced
chaunce	chance
chaunced	chanced
chaunceler	chancellor
chauncell	chancel
chauncellor	chancellor
chauncellour	chancellor
chauncelor	chancellor
chauncery	chancery
chaunces	chances
chauncest	chancest
chaunceth	chanceth
chaundler	chandler
chaung	change
chaung'd	changed
chaungd	changed
chaunge	change
chaungeable	changeable
chaunged	changed
chaunges	changes
chaungeth	changeth
chaunging	changing
chaungyng	changing
chaunsed	chanced
chaunst	chanced
chaunt	chant
chaunted	chanted
chaunting	chanting
chaunts	chants
chauogh	chavogh
chaūce	chance
chaūced	chanced
chaūg	change
chaūge	change
chaūged	changed
chaw'd	chawed
chawes	chaws
chayer	chair
chayn	chain
chayn'd	chained
chaynd	chained
chayne	chain
chaynes	chains
chayns	chains
chayre	chair
chayres	chairs
chāber	chamber
chāg'd	changed
chāge	change
chāged	changed
chāges	changes
chāpion	champion
cheap-side	cheapside
cheape	cheap
cheape-side	cheapside
cheapely	cheaply
cheapen'd	cheapened
cheapenes	cheapens
cheapned	cheapened
chear	cheer
cheard	cheered
cheare	cheer
cheared	cheered
cheareful	cheerful
chearefull	cheerful
chearefully	cheerfully
cheares	cheers
chearful	cheerful
chearfull	cheerful
chearfullie	cheerfully
chearfullness	cheerfulness
chearfully	cheerfully
chearing	cheering
chearish	cherish
chears	cheers
cheary	cheery
cheat'st	cheatest
cheate	cheat
cheates	cheats
check'd	checked
check't	checked
check-mate	checkmate
checkd	checked
checke	cheque
checker	chequer
checker'd	chequered
checkered	chequered
checkes	cheques
checkey	checky
checklesse	checkless
checkred	chequered
checkt	checked
checkynge	checking
cheef	chief
cheefe	chief
cheefely	chiefly
cheefest	chiefest
cheefly	chiefly
cheek'd	cheeked
cheek't	cheeked
cheeke	cheek
cheekes	cheeks
cheekt	cheeked
cheer'd	cheered
cheer'st	cheerest
cheerd	cheered
cheere	cheer
cheere's	cheer's
cheerefull	cheerful
cheerefullie	cheerfully
cheerefully	cheerfully
cheerefulnesse	cheerfulness
cheerely	cherely
cheeres	cheers
cheerfull	cheerful
cheerfulnesse	cheerfulness
cheerish	cherish
cheerlesse	cheerless
cheescakes	cheesecakes
cheese-cakes	cheesecakes
chefe	chief
chefely	chiefly
chefelye	chiefly
chefly	chiefly
cheif	chief
cheife	chief
cheifest	chiefest
cheifly	chiefly
cheines	chains
cheke	cheek
chekes	cheeks
chekyng	cheking
chequer'd	chequered
chequered	checkered
cher'd	cheered
chere	cheer
chered	cheered
chereful	cheerful
cherefull	cheerful
cherefully	cheerfully
cherfully	cheerfully
cherish'd	cherished
cherish't	cherished
cherishe	cherish
cherisht	cherished
cherrie	cherry
cherrish	cherish
cherry-cheekt	cherry-cheeked
cherry-lip'd	cherry-liped
cherry-stone	cherrystone
cherry-tree	cherrytree
cherryes	cherries
chery	cheery
cheryshed	cherished
chese	cheese
cheshu	jesu
chesnut	chestnut
chesnuts	chestnuts
chesse	chess
chesse-board	chessboard
chesse-play	chess-play
chest-nut	chestnut
cheting	cheating
cheu'rō	cheveron
cheualier	chevalier
cheualls	chevalls
cheualrie	chivalry
cheualry	chivalry
cheueleere	cheveleere
cheuerell	cheverell
cheuerill	cheverill
cheuy-chafe	chevy-chafe
chev'ron	cheu'ron
chev'rond	cheu'rond
chevalrie	chivalry
chevalry	chivalry
chew'd	chewed
chewes	chews
